x,y,habitat_suitability
-65.015,17.884999999999998,0
-65.005,17.884999999999998,0.03887847881774564
-64.99499999999999,17.884999999999998,0.076090486097244
-64.985,17.884999999999998,0.11142662970270811
-64.975,17.884999999999998,0.14465439018688975
-64.965,17.884999999999998,0.17551881554462223
-64.955,17.884999999999998,0.20374503553672318
-64.945,17.884999999999998,0.22904322618477546
-64.935,17.884999999999998,0.2511165914431356
-64.925,17.884999999999998,0.2696726719555764
-64.91499999999999,17.884999999999998,0.28443778285859556
-64.905,17.884999999999998,0.29517363754743964
-64.895,17.884999999999998,0.30169437210105243
-64.88499999999999,17.884999999999998,0.3038815238278816
-64.875,17.884999999999998,0.30169437210105243
-64.865,17.884999999999998,0.29517363754745074
-64.855,17.884999999999998,0.3029068809236548
-64.845,17.884999999999998,0.3319463788809772
-64.835,17.884999999999998,0.3575426748219165
-64.825,17.884999999999998,0.37926967311593174
-64.815,17.884999999999998,0.396709180506999
-64.80499999999999,17.884999999999998,0.40948121346669886
-64.795,17.884999999999998,0.41727878719760425
-64.785,17.884999999999998,0.41990126985656184
-64.77499999999999,17.884999999999998,0.41990126985656184
-64.765,17.884999999999998,0.41990126985656184
-64.755,17.884999999999998,0.41990126985656184
-64.745,17.884999999999998,0.4172787871976108
-64.735,17.884999999999998,0.40948121346669886
-64.725,17.884999999999998,0.396709180506999
-64.715,17.884999999999998,0.3792696731159567
-64.705,17.884999999999998,0.3592864848197246
-64.695,17.884999999999998,0.39603243820491496
-64.685,17.884999999999998,0.4297911888497338
-64.675,17.884999999999998,0.4600021977026054
-64.66499999999999,17.884999999999998,0.48603946618963767
-64.655,17.884999999999998,0.507240931207041
-64.645,17.884999999999998,0.5229613902038048
-64.635,17.884999999999998,0.5326474174309088
-64.625,17.884999999999998,0.5359210158852421
-64.615,17.884999999999998,0.5326474174309171
-64.605,17.884999999999998,0.5229613902038048
-64.595,17.884999999999998,0.507240931207041
-64.585,17.884999999999998,0.48603946618960736
-64.575,17.884999999999998,0.5089641905401048
-64.565,17.884999999999998,0.5377495151640086
-64.55499999999999,17.884999999999998,0.5614423884595008
-64.545,17.884999999999998,0.5791817851374721
-64.535,17.884999999999998,0.5901938449283657
-64.525,17.884999999999998,0.5939308888996007
-64.515,17.884999999999998,0.6145335973397306
-64.505,17.884999999999998,0.6348419586389769
-64.495,17.884999999999998,0.6475882752977127
-64.485,17.884999999999998,0.6519407619139224
-64.475,17.884999999999998,0.6475882752977236
-65.015,17.874999999999996,0.039463369759140554
-65.005,17.874999999999996,0.08001037382453269
-64.99499999999999,17.874999999999996,0.11896016993156555
-64.985,17.874999999999996,0.1560915761029117
-64.975,17.874999999999996,0.19115412486356298
-64.965,17.874999999999996,0.2238673774831288
-64.955,17.874999999999996,0.25392224125012386
-64.945,17.874999999999996,0.2809852762601196
-64.935,17.874999999999996,0.30470703986832703
-64.925,17.874999999999996,0.32473530778030213
-64.91499999999999,17.874999999999996,0.3407333729947648
-64.905,17.874999999999996,0.3524024836038676
-64.895,17.874999999999996,0.3595059891921242
-64.88499999999999,17.874999999999996,0.3618913968422217
-64.875,17.874999999999996,0.3595059891921242
-64.865,17.874999999999996,0.3524024836038796
-64.855,17.874999999999996,0.35950598919211807
-64.845,17.874999999999996,0.38164407534189204
-64.835,17.874999999999996,0.4093918913455471
-64.825,17.874999999999996,0.43310396073380686
-64.815,17.874999999999996,0.4522559049883871
-64.80499999999999,17.874999999999996,0.4663565226459495
-64.795,17.874999999999996,0.47499864639547085
-64.785,17.874999999999996,0.477911142870902
-64.77499999999999,17.874999999999996,0.477911142870902
-64.765,17.874999999999996,0.477911142870902
-64.755,17.874999999999996,0.477911142870902
-64.745,17.874999999999996,0.4749986463954783
-64.735,17.874999999999996,0.4663565226459495
-64.725,17.874999999999996,0.4522559049883871
-64.715,17.874999999999996,0.43310396073383417
-64.705,17.874999999999996,0.4094800538177169
-64.695,17.874999999999996,0.43936818098542596
-64.685,17.874999999999996,0.4759130986293102
-64.675,17.874999999999996,0.5089554680528166
-64.66499999999999,17.874999999999996,0.5377435851301563
-64.655,17.874999999999996,0.5614388726003816
-64.645,17.874999999999996,0.5791801566592123
-64.635,17.874999999999996,0.5901934268683077
-64.625,17.874999999999996,0.5939308888995822
-64.615,17.874999999999996,0.5901934268683171
-64.605,17.874999999999996,0.5791801566592123
-64.595,17.874999999999996,0.5614388726003816
-64.585,17.874999999999996,0.5377435851301227
-64.575,17.874999999999996,0.555732554300016
-64.565,17.874999999999996,0.5877726785128994
-64.55499999999999,17.874999999999996,0.614529596266174
-64.545,17.874999999999996,0.6348400814810276
-64.535,17.874999999999996,0.6475877890337021
-64.525,17.874999999999996,0.6519407619139408
-64.515,17.874999999999996,0.6659801023581309
-64.505,17.874999999999996,0.6896381432538724
-64.495,17.874999999999996,0.7047414757084838
-64.485,17.874999999999996,0.7099506349282625
-64.475,17.874999999999996,0.7047414757084969
-65.015,17.865,0.07696613478751035
-65.005,17.865,0.1192403688458119
-64.99499999999999,17.865,0.16000960857336288
-64.985,17.865,0.1990440049640474
-64.975,17.865,0.23607757400502738
-64.965,17.865,0.27080540408156806
-64.955,17.865,0.3028828194145028
-64.945,17.865,0.3319279325394573
-64.935,17.865,0.357529354452332
-64.925,17.865,0.3792608496548102
-64.91499999999999,17.865,0.39670407382289996
-64.905,17.865,0.4094788947352159
-64.895,17.865,0.4172781997569698
-64.88499999999999,17.865,0.41990126985656184
-64.875,17.865,0.4172781997569698
-64.865,17.865,0.409478894735229
-64.855,17.865,0.417278199756963
